,Champ,Stats,Items,Runes
50,"Ekko
Assassin
Fighter","Games Played476603
Pick Rate7.14%
Win Rate43%","['Hextech-Raketengürtel', '', 'Verderbender Trank', 'Dunkles Siegel', 'Verstärkender Wälzer', 'Stiefel', 'Linse des Orakels', 'Teleportation', 'Blitz', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Zombie Ward\nTakedowns on enemy Wards cause friendly Zombie Wards to sprout from their corpses. Gain permanent AD or AP, adaptive for each Zombie Ward spawned plus bonus upon completion.', 'Ingenious Hunter\nUnique takedowns grant permanent Item Haste (includes Trinkets).', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
51,"Ekko
Assassin
Fighter","Games Played476603
Pick Rate7.14%
Win Rate43%","['Merkurs Schuhe', 'Verderbender Trank', 'Hextech-Raketengürtel', 'Nashors Zahn', '', '', 'Linse des Orakels', 'Blitz', 'Teleportation', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', '4\nInspiration', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Minion Dematerializer\nStart the game with 3 Minion Dematerializers. Killing minions with the item gives permanent bonus damage vs. that minion type.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
52,"Elise
Mage
Fighter","Games Played30457
Pick Rate7.14%
Win Rate43%","['Leerenstab', 'Übergroßer Stab', 'Hextech-Raketengürtel', '', 'Zaubererschuhe', 'Zhonyas Stundenglas', 'Linse des Orakels', 'Zerschmettern', 'Blitz', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Cheap Shot\nDeal bonus true damage to enemy champions with impaired movement or actions.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Relentless Hunter\nUnique takedowns grant permanent out of combat MS.', '1\nPrecision', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Coup de Grace\nDeal more damage to low health enemy champions.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
53,"Elise
Mage
Fighter","Games Played30457
Pick Rate7.14%
Win Rate43%","['Hextech-Raketengürtel', 'Leerenstab', 'Zhonyas Stundenglas', 'Kaputte Stoppuhr', 'Zaubererschuhe', 'Dunkles Siegel', 'Linse des Orakels', 'Blitz', 'Zerschmettern', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Relentless Hunter\nUnique takedowns grant permanent out of combat MS.', '2\nSorcery', 'Absolute Focus\nWhile above 70% health, gain extra adaptive damage.', 'Waterwalking\nGain MS and AP or AD, adaptive in the river.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
54,"Evelynn
Assassin
Mage","Games Played4519
Pick Rate7.14%
Win Rate48%","['Hextech-Raketengürtel', 'Übergroßer Stab', 'Zaubererschuhe', 'Dunkles Siegel', 'Schleier der Todesfee', 'Übergroßer Stab', 'Weitsicht-Modifikation', 'Zerschmettern', 'Blitz', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', '2\nSorcery', 'Absolute Focus\nWhile above 70% health, gain extra adaptive damage.', 'Gathering Storm\nGain increasing amounts of AD or AP, adaptive over the course of the game.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
55,"Evelynn
Assassin
Mage","Games Played4519
Pick Rate7.14%
Win Rate48%","['Schattenflamme', 'Dunkles Siegel', 'Hextech-Raketengürtel', 'Übergroßer Stab', 'Zaubererschuhe', 'Übergroßer Stab', 'Weitsicht-Modifikation', 'Blitz', 'Zerschmettern', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Relentless Hunter\nUnique takedowns grant permanent out of combat MS.', '2\nSorcery', 'Absolute Focus\nWhile above 70% health, gain extra adaptive damage.', 'Gathering Storm\nGain increasing amounts of AD or AP, adaptive over the course of the game.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
56,"Ezreal
Marksman
Mage","Games Played55320
Pick Rate7.14%
Win Rate44%","['Essenzräuber', 'Ionische Stiefel der Deutlichkeit', 'Seryldas Bitterkeit', 'Muramana', 'Krone der gefallenen Königin', 'Caulfields Kriegshammer', 'Weitsicht-Modifikation', 'Blitz', 'Heilen', '', '', '', '']","['5\nInspiration', 'First Strike\nWhen you initiate champion combat, deal 10% extra damage for 3 seconds and gain gold based on damage dealt.', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', '1\nPrecision', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Bloodline\nTakedowns on enemies grant permanent Lifesteal. Weaker earlier but stronger later game than other Legend Runes.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
57,"Ezreal
Marksman
Mage","Games Played55320
Pick Rate7.14%
Win Rate44%","['Zündjuwel', 'Nachfüllbarer Trank', 'Ionische Stiefel der Deutlichkeit', 'Essenzräuber', 'Seryldas Bitterkeit', 'Muramana', 'Weitsicht-Modifikation', 'Blitz', 'Erschöpfen', '', '', '', '']","['5\nInspiration', 'First Strike\nWhen you initiate champion combat, deal 10% extra damage for 3 seconds and gain gold based on damage dealt.', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', '1\nPrecision', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Bloodline\nTakedowns on enemies grant permanent Lifesteal. Weaker earlier but stronger later game than other Legend Runes.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
58,"Fiddlesticks
Mage
Support","Games Played12685
Pick Rate7.14%
Win Rate62%","['Mejais Seelenstehler', 'Zhonyas Stundenglas', 'Zaubererschuhe', 'Hextech-Raketengürtel', 'Rabadons Todeshaube', 'Leerenstab', 'Abbild einer Vogelscheuche', 'Blitz', 'Zerschmettern', '', '', '', '']","['2\nDomination', 'Predator\nAdd an active effect to your boots that grants a large boost of MS and causes your next attack or ability to deal bonus adaptive damage.', 'Cheap Shot\nDeal bonus true damage to enemy champions with impaired movement or actions.', 'Ghost Poro\nWhen your wards expire, they leave behind a Ghost Poro. The Ghost Poro grants vision until discovered. Gain permanent AD or AP, adaptive for each Ghost Poro and when your Ghost Poro spots an enemy champion, plus bonus upon completion.', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', '4\nInspiration', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', ""Future's Market\nYou can enter debt to buy items."", 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Scaling Health\n+15-90 HP (based on level)']"
59,"Fiddlesticks
Mage
Support","Games Played12685
Pick Rate7.14%
Win Rate62%","['Liandrys Leid', 'Zaubererschuhe', '', '', '', '', 'Abbild einer Vogelscheuche', 'Blitz', 'Zerschmettern', '', '', '', '']","['2\nDomination', 'Predator\nAdd an active effect to your boots that grants a large boost of MS and causes your next attack or ability to deal bonus adaptive damage.', 'Cheap Shot\nDeal bonus true damage to enemy champions with impaired movement or actions.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', '4\nInspiration', ""Future's Market\nYou can enter debt to buy items."", 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
60,"Fiora
Fighter
Assassin","Games Played327549591
Pick Rate7.14%
Win Rate52%","['Schikane', 'Blutdürster', 'Geistessicht', 'Merkurs Schuhe', 'Steraks Pegel', 'Gefräßige Hydra', 'Linse des Orakels', 'Blitz', 'Teleportation', '', '', '', '']","['4\nResolve', 'Grasp of the Undying\nEvery 4s your next attack on a champion deals bonus magic damage, heals you, and permanently increases your health.', 'Shield Bash\nWhenever you gain a shield, your next basic attack against a champion deals bonus adaptive damage.', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '4\nInspiration', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
61,"Fiora
Fighter
Assassin","Games Played327549591
Pick Rate7.14%
Win Rate52%","['Hızkesen', 'Mahvolmuş Kralın Kılıcı', 'Çelik Kaplamalı Çizme', 'Kazma', '', ""Doran'ın Kılıcı"", 'Görünmez Totem', 'Tutuştur', 'Sıçra', '', '', '', '']","['1\nPrecision', 'Press the Attack\nHitting an enemy champion 3 consecutive times makes them vulnerable, dealing bonus damage and causing them to take more damage from all sources for 6s.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Revitalize\nGain 5% Heal and Shield Power.\n\nHeals and shields you cast or receive are 10% stronger on targets below 40% health.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
62,"Fizz
Assassin
Fighter","Games Played582741
Pick Rate7.14%
Win Rate42%","['Песочные часы Жони', 'Слишком Большой Жезл', 'Хекстек-альтернатор', 'Пожиратель душ Меджай', 'Сапоги чародея', 'Буря Людена', 'Лупа оракула', 'Телепорт', 'Скачок', '', '', '', '']","['5\nInspiration', 'First Strike\nWhen you initiate champion combat, deal 10% extra damage for 3 seconds and gain gold based on damage dealt.', 'Perfect Timing\nGain a free Commencing Stopwatch. After 14 minutes, it can be used for a one time Stasis effect.\n\nEach takedown you get shortens this timer by 120 seconds.', 'Minion Dematerializer\nStart the game with 3 Minion Dematerializers. Killing minions with the item gives permanent bonus damage vs. that minion type.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', '2\nDomination', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
63,"Fizz
Assassin
Fighter","Games Played582741
Pick Rate7.14%
Win Rate42%","['Песочные часы Жони', 'Сфера забвения', 'Буря Людена', 'Ионийские сапоги просветления', '', '', 'Лупа оракула', 'Скачок', 'Кара', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Zombie Ward\nTakedowns on enemy Wards cause friendly Zombie Wards to sprout from their corpses. Gain permanent AD or AP, adaptive for each Zombie Ward spawned plus bonus upon completion.', 'Ravenous Hunter\nUnique takedowns grant permanent Omnivamp.', '1\nPrecision', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Coup de Grace\nDeal more damage to low health enemy champions.', 'Scaling Cooldown Reduction\n+1-10% CDR (based on level)', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
64,"Galio
Tank
Mage","Games Played35281
Pick Rate7.14%
Win Rate50%","['Plated Steelcaps', 'Evenshroud', 'Winged Moonplate', 'Bulwark of the Mountain', 'Refillable Potion', 'Kindlegem', 'Oracle Lens', 'Flash', 'Ignite', '', '', '', '']","['4\nResolve', 'Aftershock\nAfter immobilizing an enemy champion gain defenses and later deal a burst of magic damage around you.', 'Shield Bash\nWhenever you gain a shield, your next basic attack against a champion deals bonus adaptive damage.', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '3\nSorcery', 'Nimbus Cloak\nAfter casting a Summoner Spell, gain a short Move Speed increase that allows you to pass through units.', 'Celerity\nAll Move Speed bonuses are 7% more effective on you and gain 1% Move Speed.', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor', 'Armor\n+6 Armor']"
65,"Galio
Tank
Mage","Games Played35281
Pick Rate7.14%
Win Rate50%","['Dağın Siperi', ""Merkür'ün Adımları"", ""Demir Solari'nin Broşu"", 'Alazcevher', 'Dev Kemeri', '', 'Kâhin Merceği', 'Sıçra', 'Tutuştur', '', '', '', '']","['4\nResolve', 'Aftershock\nAfter immobilizing an enemy champion gain defenses and later deal a burst of magic damage around you.', ""Font of Life\nImpairing the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked."", 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '3\nSorcery', 'Nimbus Cloak\nAfter casting a Summoner Spell, gain a short Move Speed increase that allows you to pass through units.', 'Celerity\nAll Move Speed bonuses are 7% more effective on you and gain 1% Move Speed.', 'Scaling Cooldown Reduction\n+1-10% CDR (based on level)', 'Magic Resist\n+8 Magic Resist', 'Armor\n+6 Armor']"
66,"Gangplank
Fighter","Games Played368007943
Pick Rate7.14%
Win Rate46%","['Force de la trinité', 'Potion de corruption', '', 'Abatteur', '', '', 'Balise camouflée', 'Saut éclair', 'Téléportation', '', '', '', '']","['4\nResolve', 'Grasp of the Undying\nEvery 4s your next attack on a champion deals bonus magic damage, heals you, and permanently increases your health.', 'Demolish\nCharge up a powerful attack against a tower while near it.', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Overgrowth\nGain permanent max health when minions or monsters die near you.', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
67,"Gangplank
Fighter","Games Played368007943
Pick Rate7.14%
Win Rate46%","[""Caulfield'ın Savaş Çekici"", 'Tahsildar', 'Ebedi Kılıç', 'Ölümsüz Kalkanyay', 'Canbiçen', 'Çelik Kaplamalı Çizme', 'Görünmez Totem', 'Işınlan', 'Sıçra', '', '', '', '']","['5\nInspiration', 'First Strike\nWhen you initiate champion combat, deal 10% extra damage for 3 seconds and gain gold based on damage dealt.', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', '4\nResolve', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Revitalize\nGain 5% Heal and Shield Power.\n\nHeals and shields you cast or receive are 10% stronger on targets below 40% health.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
68,"Garen
Fighter
Tank","Games Played232973313
Pick Rate7.14%
Win Rate53%","['Escudo de Doran', 'Cortasendas', 'Grebas de berserker', 'Espada larga', 'Poción reutilizable', '', 'Guardián invisible', 'Destello', 'Teleportar', '', '', '', '']","['1\nPrecision', 'Lethal Tempo\nGain attack speed when attacking an enemy champion, stacking up to 6 times. At max stacks, gain Attack Range and remove your Attack Speed limit.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Tenacity\nTakedowns on enemies grant permanent Tenacity.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Conditioning\nAfter 12 min gain +9 Armor and +9 Magic Resist and increase your Armor and Magic Resist by 5%.', 'Overgrowth\nGain permanent max health when minions or monsters die near you.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
69,"Garen
Fighter
Tank","Games Played232973313
Pick Rate7.14%
Win Rate53%","['Poción reutilizable', 'Llamada del verdugo', 'Grebas de berserker', 'Escudo de Doran', 'Fervor', 'Fuerza de trinidad', 'Lente del oráculo', 'Teleportar', 'Destello', '', '', '', '']","['2\nDomination', 'Predator\nAdd an active effect to your boots that grants a large boost of MS and causes your next attack or ability to deal bonus adaptive damage.', 'Cheap Shot\nDeal bonus true damage to enemy champions with impaired movement or actions.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Ingenious Hunter\nUnique takedowns grant permanent Item Haste (includes Trinkets).', '3\nResolve', 'Conditioning\nAfter 12 min gain +9 Armor and +9 Magic Resist and increase your Armor and Magic Resist by 5%.', 'Overgrowth\nGain permanent max health when minions or monsters die near you.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
70,"Gnar
Fighter
Tank","Games Played59357530
Pick Rate7.14%
Win Rate50%","['Chupasangre', 'Botas blindadas', 'Baile de la muerte', 'Recordatorio letal', 'Final del ingenio', 'Calibrador de Sterak', 'Lente del oráculo', 'Destello', 'Teleportar', '', '', '', '']","['4\nResolve', 'Grasp of the Undying\nEvery 4s your next attack on a champion deals bonus magic damage, heals you, and permanently increases your health.', 'Demolish\nCharge up a powerful attack against a tower while near it.', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Overgrowth\nGain permanent max health when minions or monsters die near you.', '2\nDomination', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Ravenous Hunter\nUnique takedowns grant permanent Omnivamp.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
71,"Gnar
Fighter
Tank","Games Played59357530
Pick Rate7.14%
Win Rate50%","['Cortasendas', 'Protector pétreo de gárgola', 'Presagio de Randuin', 'Cristal de rubí', 'Botas blindadas', 'Espada de Doran', 'Guardián invisible', 'Teleportar', 'Destello', '', '', '', '']","['1\nPrecision', 'Fleet Footwork\nAttacking and moving builds Energy stacks. At 100 stacks, your next attack heals you and grants increased MS.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Tenacity\nTakedowns on enemies grant permanent Tenacity.', 'Last Stand\nDeal more damage to champions while you are low on health.', '1\nDomination', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Ravenous Hunter\nUnique takedowns grant permanent Omnivamp.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
72,"Gragas
Fighter
Mage","Games Played12736762
Pick Rate7.14%
Win Rate50%","['Guardián de control', 'Escarcha eterna', '', 'El gran invierno', 'Corazón de hielo', 'Botas jonias de la lucidez', 'Lente del oráculo', 'Teleportar', 'Destello', '', '', '', '']","['3\nSorcery', 'Phase Rush\nHitting an enemy champion with 3 separate attacks or abilities grants a burst of MS.', 'Manaflow Band\nHitting an enemy champion with an ability permanently increases your maximum mana by 25, up to 250 mana.\n\nAfter reaching 250 bonus mana, restore 1% of your missing mana every 5 seconds.', 'Transcendence\nGain bonuses upon reaching the following levels:\nLevel 5: +5 Ability Haste\nLevel 8: +5 Ability Haste\nLevel 11: On Champion takedown, reduce the remaining cooldown of basic abilities by 20%.', 'Scorch\nYour first damaging ability hit every 10s burns champions.', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
73,"Gragas
Fighter
Mage","Games Played12736762
Pick Rate7.14%
Win Rate50%","['Escarcha eterna', 'Reloj de arena de Zhonya', 'Botas jonias de la lucidez', 'Velo del hada de la muerte', 'Sello oscuro', '', 'Lente del oráculo', 'Aplastar', 'Destello', '', '', '', '']","['2\nDomination', 'Predator\nAdd an active effect to your boots that grants a large boost of MS and causes your next attack or ability to deal bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Eyeball Collection\nCollect eyeballs for champion takedowns. Gain permanent AD or AP, adaptive for each eyeball plus bonus upon collection completion.', 'Ingenious Hunter\nUnique takedowns grant permanent Item Haste (includes Trinkets).', '4\nInspiration', 'Perfect Timing\nGain a free Commencing Stopwatch. After 14 minutes, it can be used for a one time Stasis effect.\n\nEach takedown you get shortens this timer by 120 seconds.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
74,"Graves
Marksman","Games Played56865289
Pick Rate7.14%
Win Rate50%","['Arcoescudo inmortal', 'Recuerdos de lord Dominik', 'Capa de agilidad', 'Botas blindadas', 'Recaudadora', 'Capa de agilidad', 'Lente del oráculo', 'Aplastar', 'Destello', '', '', '', '']","['1\nPrecision', 'Fleet Footwork\nAttacking and moving builds Energy stacks. At 100 stacks, your next attack heals you and grants increased MS.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Tenacity\nTakedowns on enemies grant permanent Tenacity.', 'Coup de Grace\nDeal more damage to low health enemy champions.', '4\nInspiration', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
75,"Graves
Marksman","Games Played56865289
Pick Rate7.14%
Win Rate50%","['Arcoescudo inmortal', 'Recordatorio letal', 'Cañón de fuego rápido', 'Bailarín espectral', 'Recaudadora', 'Filo infinito', 'Lente del oráculo', 'Aplastar', 'Destello', '', '', '', '']","['1\nPrecision', 'Conqueror\nGain stacks of adaptive force when attacking enemy champions. After reaching 12 stacks, heal for a portion of damage you deal to champions.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Coup de Grace\nDeal more damage to low health enemy champions.', '4\nInspiration', 'Magical Footwear\nYou get free boots at 12 min but you cannot buy boots before then. Each takedown you get makes your boots come 45s sooner.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
76,"Gwen
Fighter
Assassin","Games Played101581075
Pick Rate7.14%
Win Rate46%","['Diente de Nashor', 'Creagrietas', 'Botas blindadas', 'Impulso cósmico', 'Vara innecesariamente grande', 'Guardián de control', 'Guardián invisible', 'Fantasmal', 'Teleportar', '', '', '', '']","['1\nPrecision', 'Conqueror\nGain stacks of adaptive force when attacking enemy champions. After reaching 12 stacks, heal for a portion of damage you deal to champions.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Second Wind\nAfter taking damage from an enemy champion heal back some missing health over time.', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
